chem_id,compound_class
100002294,23
100002295,6
100002298,5
100002300,28
100002302,28
100002303,28
100002304,14
100002311,7
100002313,7
100002314,18
100002315,16
100002316,18
100002317,18
100002318,18
100002319,5
100002321,27
100002322,27
100002323,9
100002324,11
100002326,27
100002328,29
100002329,22
100002330,20
100002331,22
100002332,5
100002334,4
100002335,11
100002336,29
100002342,29
100002344,11
100002346,29
100002350,29
100002352,30
100002355,29
100002356,29
100002358,29
100002361,10
100002362,10
100002363,9
100002365,10
100002366,10
100002367,6
100002369,8
100002371,20
100002372,11
100002373,23
100002374,9
100002376,29
100002377,1
100002378,19
100002379,8
100002381,22
100002382,22
100002383,27
100002384,3
100002385,22
100002386,22
100002387,22
100002388,16
100002389,10
100002390,25
100002391,22
100002392,22
100002393,22
100002394,10
100002395,22
100002396,10
100002397,15
100002398,0
100002400,8
100002401,15
100002402,8
100002403,7
100002405,24
100002406,28
100002407,7
100002410,27
100002412,28
100002413,28
100002414,28
100002415,28
100002417,30
100002418,11
100002423,11
100002427,30
100002428,28
100002432,10
100002433,20
100002434,20
100002436,20
100002439,6
100002441,6
100002444,28
100002445,8
100002448,8
100002449,8
100002451,9
100002454,28
100002455,19
100002457,13
100002458,13
100002459,4
100002461,1
100002462,6
100002463,15
100002464,27
100002466,24
100002467,6
100002468,6
100002477,21
100002482,20
100002486,21
100002487,22
100002488,7
100002489,27
100002491,21
100002494,8
100002495,21
100002497,21
100002498,6
100002500,24
100002502,21
100002503,21
100002512,28
100002514,14
100002520,6
100002527,1
100002528,15
100002530,7
100002533,27
100002534,20
100002535,29
100002537,11
100002544,11
100002546,30
100002549,7
100002550,7
100002554,3
100002555,6
100002557,0
100002560,8
100002568,21
100002569,21
100002570,9
100002573,6
100002577,28
100002581,8
100002582,8
100002583,8
100002584,8
100002586,8
100002604,5
100002606,11
100002610,19
100002613,29
100002619,6
100002622,7
100002623,15
100002627,28
100002628,28
100002633,15
100002634,4
100002636,7
100002638,7
100002642,28
100002643,21
100002662,8
100002665,8
100002668,11
100002669,7
100002670,24
100002675,28
100002676,5
100002678,6
100002679,11
100002682,28
100002687,27
100002694,1
100002697,21
100002698,8
100002700,14
100002703,22
100002704,27
100002708,8
100002710,23
100002712,21
100002713,21
100002715,22
100002717,27
100002718,28
100002719,3
100002721,7
100002722,23
100002724,1
100002725,1
100002726,23
100002727,8
100002728,27
100002732,22
100002733,28
100002734,25
100002735,27
100002736,22
100002737,20
100002738,23
100002739,10
100002740,1
100002742,20
100002743,8
100002744,9
100002745,27
100002746,14
100002749,24
100002751,13
100002752,13
100002753,13
100002754,13
100002755,13
100002756,13
100002758,1
100002759,8
100002760,8
100002761,7
100002762,21
100002763,3
100002764,6
100002765,28
100002766,8
100002767,8
100002769,11
100002772,9
100002773,7
100002774,9
100002775,24
100002776,1
100002777,14
100002779,10
100002780,29
100002781,8
100002782,1
100002784,24
100002787,23
100002791,13
100002796,13
100002797,20
100002798,8
100002799,27
100002800,27
100002802,21
100002803,7
100002804,27
100002805,27
100002806,23
100002807,10
100002808,27
100002809,27
100002810,27
100002811,27
100002812,3
100002813,13
100002814,9
100002815,28
100002816,25
100002817,21
100002819,13
100002820,11
100002821,4
100002822,28
100002823,13
100002825,13
100002828,2
100002829,22
100002831,22
100002836,13
100002837,13
100002838,13
100002841,13
100002843,13
100002849,6
100002850,7
100002854,10
100002856,8
100002857,10
100002865,2
100002868,3
100002873,3
100002876,2
100002879,5
100002880,5
100002881,6
100002883,1
100002884,10
100002887,1
100002892,22
100002893,21
100002895,21
100002898,20
100002900,24
100002905,28
100002910,20
100002911,7
100002912,7
100002913,7
100002914,10
100002916,20
